id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,,,alpha-2,name,iso_country,,,,sub_div_codes,name,iso_region
30096,SNXA,small_airport,Machado Airport,-21.67810059,-45.84109879,2969,SA,Brazil,Minas Gerais,Machado,no,SNXA,0,,,,,,,CK,Cook Islands,BR,Brazil,,,BB-11,Saint Thomas,
30246,SSAQ,small_airport,Aeroclube Airport,-28.25060081,-52.51670074,1969,SA,Brazil,Rio Grande do Sul,Passo Fundo,no,SSAQ,0,,,,,,,CR,Costa Rica,BR,Brazil,,,BD-1,Bandarban,
29683,SSBR,small_airport,Bandeirantes Airport,-23.07279968,-50.42309952,1319,SA,Brazil,Paran�,Bandeirantes,no,SSBR,0,,,,,,,CI,Côte d'Ivoire,BR,Brazil,,,BD-2,Barguna,
30394,SSEP,small_airport,São Sepé Airport,-30.18219948,-53.57939911,502,SA,Brazil,Rio Grande do Sul,São Sepé,no,SSEP,0,,,,,,,HR,Croatia,BR,Brazil,,,BD-3,Bogra,
29925,SSGR,small_airport,Guaporé Airport,-28.8946991,-51.8553009,1558,SA,Brazil,Rio Grande do Sul,Guaporé,no,SSGR,0,,,,,,,CU,Cuba,BR,Brazil,,,BD-4,Brahmanbaria,
29999,SSJK,small_airport,Júlio de Castilho Airport,-29.15309906,-53.74330139,1633,SA,Brazil,Rio Grande do Sul,Júlio De Castilho,no,SSJK,0,,,,,,,CW,Curaçao,BR,Brazil,,,BD-5,Bagerhat,
30058,SSLA,small_airport,Laguna Airport,-28.37669945,-48.74280167,20,SA,Brazil,Santa Catarina,Laguna,no,SSLA,0,,,,,,,CY,Cyprus,BR,Brazil,,,BD-6,Barisal,
30190,SSNO,small_airport,Nonoaí Airport,-27.36720085,-52.73389816,1969,SA,Brazil,Rio Grande do Sul,Nonoaí,no,SSNO,0,,,,,,,CZ,Czechia,BR,Brazil,,,BD-7,Bhola,
30198,SSNP,small_airport,Nova Prata Airport,-28.80249977,-51.60419846,2264,SA,Brazil,Rio Grande do Sul,Nova Prata,no,SSNP,0,,,,,,,DK,Denmark,BR,Brazil,,,BD-8,Comilla,
30468,SSQM,small_airport,Tanque Novo Airport,-13.54580021,-42.47999954,2464,SA,Brazil,Bahia,Tanque Novo,no,SSQM,0,,,,,,,DJ,Djibouti,BR,Brazil,,,BD-9,Chandpur,
30172,SSQN,small_airport,Mundo Novo Airport,-11.77219963,-40.41939926,1788,SA,Brazil,Bahia,Mundo Novo,no,SSQN,0,,,,,,,DM,Dominica,BR,Brazil,,,BD-10,Chittagong,
30426,SSSD,small_airport,Soledade Airport,-28.86310005,-52.54059982,2165,SA,Brazil,Rio Grande do Sul,Soledade,no,SSSD,0,,,,,,,DO,Dominican Republic,BR,Brazil,,,BD-11,Cox's Bazar,
30391,SSSG,small_airport,São Gabriel Airport,-30.34499931,-54.26779938,472,SA,Brazil,Rio Grande do Sul,São Gabriel,no,SSSG,0,,,,,,,EC,Ecuador,BR,Brazil,,,BD-12,Chuadanga,
30392,SSSQ,small_airport,São Joaquim Airport,-28.25889969,-49.91579819,4462,SA,Brazil,Santa Catarina,São Joaquim,no,SSSQ,0,,,,,,,EG,Egypt,BR,Brazil,,,BD-13,Dhaka,
30409,SSSZ,small_airport,Sertanópolis Airport,-23.06220055,-51.01390076,1181,SA,Brazil,Paran�,Sertanópolis,no,SSSZ,0,,,,,,,SV,El Salvador,BR,Brazil,,,BD-14,Dinajpur,
30492,SSTO,small_airport,Três Passos Airport,-27.51250076,-53.89830017,1503,SA,Brazil,Rio Grande do Sul,Três Passos,no,SSTO,0,,,,,,,GQ,Equatorial Guinea,BR,Brazil,,,BD-15,Faridpur,
30510,SSUX,small_airport,Usina Mandu Airport,-20.48220062,-48.37279892,1597,SA,Brazil,S�o Paulo,Guaíra,no,SSUX,0,,,,,,,ER,Eritrea,BR,Brazil,,,BD-16,Feni,
30527,SSVN,small_airport,Veranópolis Airport,-28.93499947,-51.56829834,2133,SA,Brazil,Rio Grande do Sul,Veranópolis,no,SSVN,0,,,,,,,EE,Estonia,BR,Brazil,,,BD-17,Gopalganj,
30266,SSVY,small_airport,Fazenda Três Barras Airport,-20.93779945,-48.1733017,1575,SA,Brazil,S�o Paulo,Pitangueiras,no,SSVY,0,,,,,,,SZ,Eswatini,BR,Brazil,,,BD-18,Gazipur,
30526,SSWA,small_airport,Venâncio Aires Airport,-29.61310005,-52.21720123,226,SA,Brazil,Rio Grande do Sul,Venâncio Aires,no,SSWA,0,,,,,,,ET,Ethiopia,BR,Brazil,,,BD-19,Gaibandha,
29745,SSWS,small_airport,Caçapava do Sul Airport,-30.54940033,-53.45920181,1312,SA,Brazil,Rio Grande do Sul,Caçapava Do Sul,no,SSWS,0,,,,,,,FK,Falkland Islands (Malvinas),BR,Brazil,,,BD-20,Habiganj,
30396,SSXD,small_airport,Sarandi Airport,-27.98110008,-52.86360168,2034,SA,Brazil,Rio Grande do Sul,Sarandi,no,SSXD,0,,,,,,,FO,Faroe Islands,BR,Brazil,,,BD-21,Jamalpur,
29768,SSZS,small_airport,Centenário do Sul Airport,-22.8307991,-51.60359955,1591,SA,Brazil,Paran�,Centenário Do Sul,no,SSZS,0,,,,,,,FJ,Fiji,BR,Brazil,,,BD-22,Jessore,
